RANK_ESTRATEGICO,SECCION,SUBCONJUNTO,LN_TOTAL,NIVEL_PRIORIDAD_OP,IRE_SCORE,PROB_MIN,PROB_MAX,ES_CERTEZA_SEC,certeza_en_todos,INDICE_RENTABILIDAD,fuerza_morena,PARTICIPACION_2024,fuerza_morena_norm,n_manzanas_sec,PROB_EMP_MZA_BASE
49,3030,S1,1535.0,P3_MEDIA,0.4188666666666666,0.1397,0.9572,False,False,0.274716,0.3216644649933949,0.7695,,13.0,0.096662
50,3093,S1,1846.0,P3_MEDIA,0.4893433333333333,0.1679,1.0,True,False,0.272142,0.292391304347826,0.7413,,8.0,0.183504
51,3105,S2,1474.0,P3_MEDIA,0.40301,0.1366,0.921,False,False,0.26901,0.3250836120401338,0.7298,,11.0,0.109912
52,3038,S2,1483.0,P3_MEDIA,0.4037699999999999,0.1417,0.9241,False,False,0.252852,0.3129667345553292,0.6504,,5.0,0.242262
53,3035,S1,1846.0,P3_MEDIA,0.48679,0.1669,1.0,True,False,0.249667,0.2796934865900383,0.6683,,10.0,0.146037
54,3042,S2,1516.0,P3_MEDIA,0.4132333333333333,0.1389,0.9464,False,False,0.24562,0.3036193029490616,0.6079,,8.0,0.154962
55,3063,S1,1870.0,P3_MEDIA,0.49434,0.1718,1.0,True,False,0.223428,0.2618121178432462,0.7699,,2.0,0.74151
56,3062,S1,1812.0,P3_MEDIA,0.4806766666666667,0.1646,1.0,True,False,0.220413,0.2637423653525819,0.7757,,9.0,0.160226
57,3031,S2,1523.0,P3_MEDIA,0.4156666666666667,0.1394,0.9513,False,False,0.178774,0.2553886348791639,0.7394,,15.0,0.083133
58,3004,S1,1542.0,P3_MEDIA,0.42046,0.1439,0.9626,False,False,0.174027,0.2506345177664975,0.8071,,22.0,0.057335
59,3049,S2,1475.0,P3_MEDIA,0.4002833333333333,0.133,0.9222,False,False,0.08966,0.1948859709744298,0.7941,,4.0,0.300212
60,3001,S1,1641.0,P3_MEDIA,0.4460066666666666,0.1461,1.0,True,False,0.0,0.1291309669522644,0.8127,,10.0,0.133802
61,3098,S2,1392.0,P4_BAJA,0.3807533333333334,0.1259,0.8725,False,False,0.380753,0.4356297842727905,0.6729,,7.0,0.16318
62,3037,S2,1351.0,P4_BAJA,0.36836,0.1207,0.8469,False,False,0.335758,0.4029739776951673,0.6625,,16.0,0.069068
63,2988,S2,1309.0,P4_BAJA,0.3572166666666667,0.1186,0.8222,False,False,0.322001,0.3992565055762082,0.716,,6.0,0.178608
64,3050,S2,1437.0,P4_BAJA,0.3914266666666666,0.1324,0.8964,False,False,0.321402,0.3696236559139785,0.7285,,5.0,0.234856
65,3114,S2,1428.0,P4_BAJA,0.3888866666666667,0.1333,0.8906,False,False,0.320324,0.3705799151343705,0.64,,8.0,0.145833
66,3081,S2,1399.0,P4_BAJA,0.3812433333333333,0.1263,0.8717,False,False,0.317644,0.374079528718704,0.7459,,4.0,0.285932
67,3036,S2,1362.0,P4_BAJA,0.37117,0.1202,0.853,False,False,0.313862,0.3786626596543952,0.6844,,13.0,0.085655
68,3041,S2,1374.0,P4_BAJA,0.37446,0.1289,0.862,False,False,0.308143,0.3702865761689291,0.6712,,7.0,0.160483
69,2989,S2,1284.0,P4_BAJA,0.3505233333333333,0.1148,0.8026,False,False,0.3071,0.389922480620155,0.7016,,9.0,0.116841
70,3011,S2,1221.0,P4_BAJA,0.3333,0.1109,0.7652,False,False,0.305575,0.4049382716049383,0.716,,8.0,0.124988
71,3047,S2,1461.0,P4_BAJA,0.3989533333333333,0.1368,0.9124,False,False,0.304013,0.3478260869565217,0.7133,,9.0,0.132984
72,3008,S2,1240.0,P4_BAJA,0.3376599999999999,0.114,0.7816,False,False,0.296197,0.3903225806451613,0.6887,,4.0,0.253245
73,3058,S2,1420.0,P4_BAJA,0.3864866666666666,0.1264,0.8846,False,False,0.290358,0.343859649122807,0.7607,,17.0,0.068204
74,2986,S2,1301.0,P4_BAJA,0.3551066666666667,0.1226,0.8106,False,False,0.288783,0.3667180277349769,0.7103,,9.0,0.118369
75,3034,S2,1406.0,P4_BAJA,0.3840833333333334,0.1311,0.8788,False,False,0.28692,0.3422913719943423,0.7426,,10.0,0.115225
76,3070,S2,1331.0,P4_BAJA,0.36351,0.1209,0.8284,False,False,0.286761,0.3577296489917849,0.7237,,7.0,0.15579
77,3106,S2,1244.0,P4_BAJA,0.3394766666666667,0.1145,0.778,False,False,0.278224,0.3690572119258662,0.7413,,3.0,0.339477
78,3012,S2,1148.0,P4_BAJA,0.3128633333333333,0.1041,0.7133,False,False,0.263548,0.3774720550300945,0.724,,8.0,0.117324
79,2984,S2,1154.0,P4_BAJA,0.31548,0.1079,0.7213,False,False,0.250667,0.3598290598290598,0.7034,,5.0,0.189288
80,3102,S2,1196.0,P4_BAJA,0.3253,0.1131,0.7428,False,False,0.246644,0.3464163822525597,0.6024,,6.0,0.16265
81,3045,S2,1221.0,P4_BAJA,0.3326366666666666,0.1072,0.7569,False,False,0.245858,0.3393739703459638,0.7026,,9.0,0.110879
82,3053,S2,1236.0,P4_BAJA,0.3386866666666667,0.1143,0.7728,False,False,0.245026,0.333596837944664,0.7344,,8.0,0.127008
83,3076,S2,1288.0,P4_BAJA,0.35084,0.1151,0.8007,False,False,0.241387,0.3205226748654881,0.7079,,15.0,0.070168
84,3028,S2,1463.0,P4_BAJA,0.3999066666666666,0.1363,0.9149,False,False,0.23981,0.2879213483146067,0.8097,,5.0,0.239944
85,3029,S2,1437.0,P4_BAJA,0.39252,0.128,0.9001,False,False,0.236083,0.2885813148788927,0.7336,,16.0,0.073598
86,3052,S2,1248.0,P4_BAJA,0.3414266666666666,0.1128,0.7861,False,False,0.234815,0.3204196933010492,0.6812,,5.0,0.204856
87,2985,S3,1093.0,P4_BAJA,0.2562666666666666,0.0987,0.4865,False,False,0.232658,0.4016393442622951,0.7104,,10.0,0.07688
88,3033,S2,1469.0,P4_BAJA,0.39984,0.1356,0.9213,False,False,0.229202,0.278169014084507,0.7648,,5.0,0.239904
89,2995,S3,983.0,P4_BAJA,0.2326466666666666,0.0944,0.4445,False,False,0.227913,0.4281217208814271,0.6695,,1.0,0.69794
90,3085,S2,1228.0,P4_BAJA,0.3342133333333333,0.1129,0.7691,False,False,0.227895,0.3182565789473684,0.7467,,10.0,0.100264
