DISTRITO_LOCAL,CLAVE_DEM,DEMARCACIÓN TERRITORIAL,SECCIÓN,TOTAL DE CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,ROP,HAAC,PRMC,ECR,EVFA,AGP,RGS,CNR,VN,VOTACIÓN TOTAL,LISTA NOMINAL
33,8,LA MAGDALENA CONTRERAS,3024,1,77,88,12,12,3,21,150,1,6,5,13,8,0,0,0,2,0,0,0,,,,,,,,3,4,405,716
33,8,LA MAGDALENA CONTRERAS,3025,3,138,235,17,19,20,39,386,10,27,11,25,10,8,1,2,6,0,0,4,,,,,,,,3,23,984,1826
33,8,LA MAGDALENA CONTRERAS,3026,2,494,180,11,12,8,16,138,5,2,2,5,13,2,0,0,1,0,0,0,,,,,,,,1,6,896,1200
33,8,LA MAGDALENA CONTRERAS,3027,2,363,163,11,8,5,13,112,1,6,4,10,16,1,0,0,0,0,0,1,,,,,,,,1,6,721,1037
33,8,LA MAGDALENA CONTRERAS,3028,2,302,244,15,18,8,17,257,5,10,3,7,15,4,0,0,3,0,1,3,,,,,,,,0,13,925,1386
33,8,LA MAGDALENA CONTRERAS,3029,2,182,201,4,13,15,16,343,7,12,6,14,12,3,1,0,0,0,1,4,,,,,,,,0,20,854,1417
33,8,LA MAGDALENA CONTRERAS,3030,2,196,228,14,6,14,23,319,1,19,6,7,8,1,0,0,2,0,0,0,,,,,,,,2,25,871,1473
33,8,LA MAGDALENA CONTRERAS,3031,2,275,230,10,8,6,35,303,3,7,4,6,17,4,0,0,2,0,1,1,,,,,,,,1,17,930,1474
33,8,LA MAGDALENA CONTRERAS,3032,3,150,249,12,15,11,36,380,13,20,5,8,21,2,0,1,1,0,1,8,,,,,,,,0,26,959,1604
33,8,LA MAGDALENA CONTRERAS,3033,2,303,212,15,14,7,10,274,5,3,4,6,5,2,1,1,2,0,0,0,,,,,,,,1,19,884,1346
33,8,LA MAGDALENA CONTRERAS,3034,2,130,221,15,17,15,17,295,7,20,5,12,10,2,0,0,1,0,1,5,,,,,,,,0,14,787,1408
33,8,LA MAGDALENA CONTRERAS,3035,3,175,297,23,16,18,27,330,10,28,12,21,18,1,0,1,0,0,0,1,,,,,,,,0,31,1009,1824
33,8,LA MAGDALENA CONTRERAS,3036,2,38,211,8,16,14,18,287,7,7,4,12,5,0,0,0,0,0,0,2,,,,,,,,2,24,655,1224
33,8,LA MAGDALENA CONTRERAS,3037,2,49,166,16,10,16,15,269,4,3,5,9,6,1,0,0,1,0,0,3,,,,,,,,0,24,597,1266
33,8,LA MAGDALENA CONTRERAS,3038,2,52,247,14,16,10,15,253,6,15,3,10,5,1,0,0,2,0,0,0,,,,,,,,2,31,682,1424
33,8,LA MAGDALENA CONTRERAS,3039,4,124,424,16,30,33,39,519,14,43,19,21,26,3,0,1,5,0,2,7,,,,,,,,2,38,1366,2747
33,8,LA MAGDALENA CONTRERAS,3040,4,94,319,23,14,32,33,462,5,45,13,11,16,4,0,0,1,1,0,5,,,,,,,,3,46,1127,2258
33,8,LA MAGDALENA CONTRERAS,3041,2,43,198,13,29,15,15,260,4,15,5,12,6,0,0,0,3,1,0,1,,,,,,,,0,32,652,1292
33,8,LA MAGDALENA CONTRERAS,3042,2,56,265,14,8,32,17,223,4,17,4,15,5,0,0,0,2,0,0,5,,,,,,,,1,22,690,1467
33,8,LA MAGDALENA CONTRERAS,3043,2,29,148,8,6,19,8,181,6,12,6,10,2,6,0,0,0,0,1,1,,,,,,,,1,7,451,926
33,8,LA MAGDALENA CONTRERAS,3044,2,74,144,9,5,12,11,188,10,15,7,9,6,4,1,0,2,0,0,3,,,,,,,,0,20,520,940
33,8,LA MAGDALENA CONTRERAS,3045,2,83,153,14,14,16,20,242,4,15,6,11,9,2,0,0,1,1,2,8,,,,,,,,0,24,625,1175
33,8,LA MAGDALENA CONTRERAS,3046,3,149,283,24,19,22,28,338,7,20,6,22,11,3,1,3,5,0,0,5,,,,,,,,5,26,977,1614
33,8,LA MAGDALENA CONTRERAS,3047,2,176,215,11,15,24,25,301,15,17,4,22,12,2,0,0,3,1,1,3,,,,,,,,1,14,862,1427
33,8,LA MAGDALENA CONTRERAS,3048,2,246,171,9,3,2,9,105,5,3,2,6,7,2,0,0,0,0,1,1,,,,,,,,0,4,576,846
33,8,LA MAGDALENA CONTRERAS,3049,2,411,253,24,8,9,16,181,3,9,3,10,24,1,0,1,0,0,0,1,,,,,,,,1,19,974,1365
33,8,LA MAGDALENA CONTRERAS,3050,2,127,261,11,15,18,25,316,3,26,6,15,9,2,0,0,3,0,0,1,,,,,,,,2,22,862,1455
33,8,LA MAGDALENA CONTRERAS,3051,2,170,262,11,7,13,22,290,6,11,8,3,10,5,0,0,2,0,2,3,,,,,,,,0,10,835,1255
33,8,LA MAGDALENA CONTRERAS,3052,2,104,164,17,13,12,17,261,3,17,1,9,5,4,0,1,0,1,0,2,,,,,,,,1,24,656,1191
33,8,LA MAGDALENA CONTRERAS,3053,2,108,224,13,14,10,17,325,7,8,4,6,7,0,0,2,7,0,0,2,,,,,,,,0,23,777,1268
33,8,LA MAGDALENA CONTRERAS,3054,2,158,121,7,6,3,13,138,2,7,9,11,3,0,0,0,1,0,0,0,,,,,,,,1,10,490,758
33,8,LA MAGDALENA CONTRERAS,3055,2,289,142,12,8,5,9,142,0,3,1,1,8,2,0,0,3,0,1,2,,,,,,,,2,5,635,948
33,8,LA MAGDALENA CONTRERAS,3056,2,200,263,22,11,13,19,228,3,9,2,5,12,2,2,0,1,0,1,0,,,,,,,,0,17,810,1184
