"CLAVE
ENTIDAD","NOMBRE
ENTIDAD","CLAVE
DISTRITO",CABECERA DISTRITAL,"CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"PADRON
HOMBRES","PADRON
MUJERES","PADRON
NO BINARIO","PADRON
ELECTORAL","LISTA
HOMBRES","LISTA
MUJERES","LISTA
NO BINARIO","LISTA
NOMINAL",,Manzanas,,LN,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3042,727,804,0,1531,721,795,0,1516,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3099,743,789,0,1532,735,778,0,1513,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3018,754,777,0,1531,739,769,0,1508,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3038,739,766,0,1505,725,758,0,1483,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,5558,721,783,0,1504,707,775,0,1482,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3049,692,804,0,1496,679,796,0,1475,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3105,689,804,0,1493,679,795,0,1474,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3117,672,823,0,1495,662,811,0,1473,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3033,712,777,0,1489,707,762,0,1469,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3028,700,780,0,1480,690,773,0,1463,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3047,722,757,0,1479,712,749,0,1461,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3050,672,787,0,1459,662,775,0,1437,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3029,688,773,0,1461,677,760,0,1437,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3114,713,736,0,1449,702,726,0,1428,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3058,674,762,0,1436,667,753,0,1420,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3034,666,766,0,1432,654,752,0,1406,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3081,652,773,0,1425,638,761,0,1399,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3098,657,751,0,1408,652,740,0,1392,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3041,665,726,0,1391,658,716,0,1374,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3036,668,720,1,1389,652,709,1,1362,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3037,651,722,0,1373,639,712,0,1351,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3079,629,726,0,1355,621,719,0,1340,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3070,630,730,0,1360,618,713,0,1331,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3051,638,706,0,1344,627,691,0,1318,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3082,617,713,0,1330,607,704,0,1311,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2988,622,706,0,1328,616,693,0,1309,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2986,621,697,0,1318,609,692,0,1301,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3076,615,689,0,1304,609,679,0,1288,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2989,644,664,0,1308,630,654,0,1284,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2982,557,710,0,1267,550,699,0,1249,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3052,611,651,0,1262,606,642,0,1248,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3116,585,673,0,1258,580,664,0,1244,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3106,607,663,0,1270,596,648,0,1244,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3008,617,649,0,1266,604,636,0,1240,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3053,589,666,0,1255,579,657,0,1236,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3085,576,674,0,1250,567,661,0,1228,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3045,589,649,0,1238,585,636,0,1221,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3011,611,619,0,1230,607,614,0,1221,,,,,
